gene	pLI	pRec	mis_z
RP11-297N6.4	1.3358e-02	4.4697e-01	-2.6810e+00
RP11-298I3.5	1.4781e-01	8.3627e-01	5.7959e-01
RP11-302B13.5	2.5656e-01	7.1878e-01	2.3063e+00
RP11-315D16.2	1.8580e-03	5.0146e-01	-6.2659e-01
RP11-318A15.7	1.0263e-06	5.6106e-02	-1.0196e+00
RP11-321F6.1	9.3616e-03	6.0709e-01	9.9888e-01
RP11-321M21.3	6.9975e-02	5.3924e-01	-5.0188e-01
RP11-322E11.6	1.5411e-02	4.7496e-01	-1.5787e+00
RP11-322L20.1	5.1167e-02	7.0814e-01	2.9047e-01
RP11-324D17.1	3.0941e-03	3.8335e-01	1.8280e-01
RP11-343C2.11	7.6034e-01	2.3959e-01	2.3902e+00
RP11-343C2.12	2.3091e-03	5.4748e-01	-1.4848e-01
RP11-343C2.9	2.3766e-05	3.1376e-01	5.1458e-02
RP11-347C12.3	5.5479e-02	7.2079e-01	2.0554e+00
RP11-351M8.1	8.9472e-06	1.0222e-01	9.7148e-01
RP11-352D3.2	1.2801e-02	6.7282e-01	1.0494e+00
RP11-362K2.2	4.1623e-02	6.7270e-01	4.9839e-01
RP11-366L20.2	9.7977e-06	1.9836e-01	1.0035e+00
RP11-368I7.4	3.1840e-04	3.7527e-01	-3.5380e-01
RP11-371E8.4	1.6849e-02	8.9681e-01	1.6790e+00
RP11-379H8.1	2.1480e-02	5.4204e-01	2.0728e-01
RP11-383H13.1	6.9491e-04	7.6545e-01	7.7921e-01
RP11-385D13.1	5.7998e-26	2.4190e-03	9.8413e-01
RP11-386G21.1	2.3775e-02	5.6280e-01	-2.0315e-01
RP11-386G21.2	3.4302e-01	4.9613e-01	1.0278e-01
RP11-404L6.2	3.1577e-01	4.9980e-01	-2.5741e-01
RP11-404P21.8	4.7505e-03	4.6491e-01	6.2520e-02
RP11-407N17.3	5.5603e-07	9.9999e-01	-8.5120e-01
RP11-408E5.4	8.5277e-02	5.7327e-01	3.7814e-01
RP11-410N8.4	2.1323e-02	5.4055e-01	6.7205e-01
RP11-422N16.3	4.1939e-01	4.7320e-01	8.9571e-01
RP11-426L16.10	3.9563e-06	8.3581e-01	9.9279e-01
RP11-433C9.2	3.5697e-02	8.4037e-01	7.5580e-01
RP11-451M19.3	1.0446e-02	6.3038e-01	9.0714e-01
RP11-455G16.1	3.0803e-02	8.2345e-01	4.2187e-01
RP11-45H22.3	1.1161e-01	6.1407e-01	1.0369e+00
RP11-463J10.2	3.1374e-02	6.1882e-01	1.3466e+00
RP11-467N20.5	2.2113e-08	2.2012e-02	-1.5784e+00
RP11-468E2.6	1.0270e-04	5.9730e-01	9.3228e-01
RP11-477N12.3	2.3666e-04	7.7254e-01	9.4515e-01
RP11-47I22.3	4.4082e-02	6.8296e-01	4.5082e-01
RP11-47I22.4	5.9327e-02	8.7478e-01	9.8449e-01
RP11-481A20.11	5.1106e-04	2.7379e-01	-1.5127e+00
RP11-484M3.5	1.6658e-01	6.5367e-01	1.0236e-01
RP11-487E13.1	2.2554e-01	6.5678e-01	2.6094e-01
RP11-497E19.2	1.4816e-01	6.4555e-01	8.4379e-01
RP11-503N18.3	2.7711e-12	7.6070e-02	3.6232e-01
RP11-508N12.4	7.3168e-01	2.5736e-01	2.0260e-01
RP11-514O12.4	6.4483e-04	9.1745e-01	5.1725e-01
RP11-514P8.7	1.1149e-02	4.1272e-01	-3.0310e-01
RP11-520P18.5	4.8050e-02	6.9780e-01	1.0121e+00
RP11-521M14.2	7.3616e-02	5.4819e-01	4.7984e-01
RP11-527L4.2	1.1627e-02	4.2055e-01	7.3678e-01
RP11-529K1.3	1.1648e-05	8.3049e-01	1.4256e+00
RP11-536G4.1	8.4786e-02	5.7231e-01	3.5953e-01
RP11-542P2.1	4.0771e-06	6.2185e-01	9.9479e-01
RP11-552I14.1	4.3619e-03	4.4798e-01	1.8358e-01
RP11-553A10.1	4.0523e-03	4.3363e-01	1.0721e+00
RP11-565P22.6	8.1065e-01	1.8511e-01	8.7811e-01
RP11-571M6.15	1.8659e-05	2.7782e-01	-2.1525e-01
RP11-58C22.1	5.7920e-01	3.8096e-01	-2.5808e-01
RP11-597K23.2	4.9813e-02	7.0378e-01	3.6049e-01
RP11-598P20.5	8.4599e-01	1.5390e-01	1.2162e+00
RP11-599B13.6	8.7139e-01	1.2708e-01	1.3699e+00
RP11-603J24.9	9.0632e-01	9.3004e-02	2.1523e+00
RP11-618P17.4	1.4339e-02	8.8134e-01	3.5478e-01
RP11-625H11.1	1.3759e-03	4.4064e-01	9.6240e-01
RP11-62N21.1	5.0351e-02	7.0554e-01	9.0368e-01
RP11-644F5.10	5.1295e-02	8.6884e-01	-2.9003e-01
RP11-650K20.3	4.8213e-01	4.4300e-01	6.8350e-01
RP11-65D24.2	2.5787e-01	6.4812e-01	1.8200e-01
RP11-661C8.3	3.8843e-01	4.8454e-01	-2.1005e-02
RP11-664D7.4	1.4724e-03	4.5402e-01	1.0590e+00
RP11-664I21.6	4.0392e-01	4.7919e-01	1.7885e-01
RP11-67H2.1	1.2526e-02	4.3462e-01	3.7464e-01
RP11-680G10.1	4.3060e-01	4.6848e-01	-1.3250e-02
RP11-683L23.1	2.5890e-04	3.3982e-01	-2.3715e+00
RP11-6L6.2	1.7559e-04	2.8010e-01	2.7463e-01
RP11-701P16.2	2.4418e-01	6.5248e-01	4.7124e-01
RP11-706O15.1	1.4637e-01	6.4451e-01	3.5360e-01
RP11-712L6.5	3.6961e-01	4.9012e-01	1.1490e-01
RP11-723O4.6	2.1637e-10	2.4593e-01	1.3746e+00
RP11-724O16.1	1.1671e-06	9.9755e-01	8.9988e-01
RP11-738G5.2	2.9157e-02	6.0420e-01	2.3257e-01
RP11-73M18.2	3.8712e-04	9.9961e-01	2.4855e+00
RP11-758M4.1	1.6336e-01	7.7925e-01	5.9988e-01
RP11-762I7.5	1.0000e+00	4.5868e-06	2.2703e+00
RP11-763F8.1	1.0216e-03	3.8462e-01	8.0778e-01
RP11-766F14.2	9.3027e-09	9.9983e-01	2.6304e+00
RP11-770J1.4	1.5279e-02	7.0834e-01	7.0901e-01
RP11-770J1.5	1.1927e-01	6.2271e-01	-8.2119e-01
RP11-77K12.1	1.2828e-05	2.2884e-01	-1.1316e+00
RP11-793H13.10	8.8400e-01	1.1600e-01	2.0579e+00
RP11-794P6.2	1.4923e-01	8.3512e-01	8.6796e-01
RP11-796G6.2	3.6123e-01	5.9225e-01	9.3468e-01
RP11-80A15.1	1.1481e-01	6.1783e-01	-1.2178e-01
RP11-812E19.9	7.5529e-07	8.8936e-02	-8.6828e-01
RP11-817J15.3	7.4255e-02	5.4970e-01	4.9847e-01
RP11-826N14.2	3.1333e-01	4.9999e-01	3.0637e-02
RP11-830F9.6	3.3439e-01	4.9758e-01	1.0601e+00
RP11-831H9.11	2.1838e-02	7.7326e-01	-1.5983e-01
RP11-834C11.12	2.8771e-04	3.5759e-01	-4.2091e-01
RP11-849H4.2	2.4042e-08	8.3605e-02	1.2130e+00
RP11-867G23.8	2.1441e-02	5.4168e-01	8.3114e-01
RP11-872D17.8	9.6353e-06	1.9660e-01	3.4591e-01
RP11-89K11.1	4.8828e-01	4.3957e-01	5.0569e-01
RP11-934B9.3	2.4785e-04	5.4683e-01	5.6582e-01
RP11-93B14.6	7.8497e-02	5.5932e-01	3.2977e-01
RP11-944C7.1	1.5197e-01	6.4758e-01	5.5008e-01
RP11-944L7.5	9.3652e-02	7.7891e-01	2.0293e-01
RP11-96O20.4	6.1391e-08	2.5688e-01	3.0613e-01
RP11-977G19.10	2.4046e-03	9.8296e-01	1.1508e+00
RP11-998D10.1	5.1512e-03	4.8126e-01	-1.5658e-01
RP11-9B6.1	3.3142e-01	4.9802e-01	1.2951e-01
RP13-512J5.1	1.5818e-01	6.5050e-01	4.0697e-01
RP13-672B3.2	4.1945e-04	4.2627e-01	3.2185e-02
RP1L1	1.8205e-10	9.3517e-03	-1.0071e+01
RP2	9.5597e-01	4.3929e-02	6.3317e-01
RP4-539M6.19	4.2668e-03	9.8921e-01	5.1449e-01
RP4-559A3.7	7.4364e-07	7.3353e-01	1.1704e+00
RP4-576H24.4	1.7506e-03	4.8912e-01	-3.0175e-01
RP4-583P15.14	1.0325e-01	6.0313e-01	8.4214e-01
RP4-758J18.2	1.1799e-02	6.5597e-01	-1.0160e-01
RP5-1052I5.2	6.6738e-02	9.3061e-01	1.4139e+00
RP5-850E9.3	4.3802e-01	4.6519e-01	7.5129e-01
RP6-24A23.6	3.6317e-01	4.9178e-01	-8.6822e-03
RP9	1.8956e-02	9.6348e-01	6.9498e-01
RPA1	8.7770e-02	9.1223e-01	1.2170e+00
RPA2	5.0461e-01	4.9463e-01	7.7386e-01
RPA3	8.5529e-09	2.4209e-02	-6.4429e-01
RPA3-AS1	2.2503e-01	6.5687e-01	7.0148e-01
RPAIN	5.5657e-11	1.7212e-02	1.3911e-01
RPAP1	1.3781e-17	9.9868e-01	1.5390e+00
RPAP2	2.5763e-07	9.9569e-01	7.3513e-01
RPAP3	6.9941e-05	9.9990e-01	4.2512e-01
RPE	2.5152e-04	7.8397e-01	5.2132e-01
RPE65	6.4889e-14	2.0755e-01	-2.4008e-01
RPEL1	1.1285e-02	6.4666e-01	4.1112e-01
RPF1	2.3931e-08	4.7473e-01	1.9546e-01
RPF2	4.6405e-02	9.4891e-01	5.3648e-01
RPGR	9.9804e-01	1.9558e-03	1.2460e+00
RPGRIP1	1.2632e-23	7.9763e-01	2.4811e-01
RPGRIP1L	4.0830e-31	4.0981e-02	-1.0819e-01
RPH3A	1.6609e-03	9.9834e-01	1.3104e+00
RPH3AL	4.4376e-12	5.2643e-02	-3.1412e-01
RPIA	1.4309e-04	9.6677e-01	9.5911e-01
RPL10	9.0915e-01	9.0230e-02	2.6137e+00
RPL10A	8.5357e-01	1.4598e-01	2.0633e+00
RPL10L	5.1677e-03	7.1941e-01	-2.4534e-01
RPL11	9.6088e-01	3.9043e-02	1.6907e+00
RPL12	5.3094e-02	9.2881e-01	1.2521e+00
RPL13	9.5062e-01	4.9244e-02	-3.2157e-01
RPL13A	8.3336e-01	1.6651e-01	3.2080e-01
RPL14	8.9508e-01	1.0473e-01	3.5716e-01
RPL15	9.7146e-01	2.8501e-02	1.8348e+00
RPL17	9.2412e-01	7.5795e-02	1.3355e+00
RPL17-C18orf32	5.7502e-01	4.2454e-01	1.1232e+00
RPL18	9.6644e-01	3.3506e-02	1.8532e+00
RPL18A	9.8228e-01	1.7711e-02	1.3477e+00
RPL19	9.8197e-01	1.8023e-02	2.3898e+00
RPL21	8.3747e-01	1.6194e-01	1.5266e+00
RPL22	1.5619e-01	7.8206e-01	1.6703e+00
RPL22L1	1.0477e-03	6.1814e-01	-3.5075e-01
RPL23	3.3031e-01	6.5596e-01	1.9471e+00
RPL23A	9.0573e-01	9.3582e-02	2.4236e-01
RPL24	6.4137e-01	3.5743e-01	1.6342e+00
RPL26	9.1630e-01	8.3189e-02	1.6397e+00
RPL26L1	9.8764e-04	6.0525e-01	2.2926e-01
RPL27	8.5027e-01	1.4746e-01	1.1412e+00
RPL27A	9.1072e-01	8.8684e-02	9.2878e-01
RPL28	7.6854e-01	2.2417e-01	6.7665e-02
RPL29	1.9534e-01	7.6255e-01	3.6036e-01
RPL3	9.9441e-01	5.5929e-03	1.5583e+00
RPL30	8.4674e-01	1.5085e-01	1.9931e+00
RPL31	8.4958e-01	1.4812e-01	1.6420e+00
RPL32	7.9962e-01	1.9545e-01	5.4971e-01
RPL34	7.0885e-01	2.8809e-01	1.4045e+00
RPL35	5.4892e-01	4.3880e-01	1.2236e+00
RPL35A	8.9535e-01	1.0375e-01	1.3717e+00
RPL36	6.7802e-01	3.0368e-01	1.1896e+00
RPL36A	4.2737e-01	5.4305e-01	7.4180e-01
RPL36A-HNRNPH2	3.6425e-01	5.9018e-01	9.5053e-01
RPL36AL	4.8413e-02	6.9906e-01	1.1386e+00
RPL37	1.8273e-01	7.6983e-01	5.2843e-01
RPL37A	5.1255e-03	7.1775e-01	7.1500e-01
RPL38	8.2550e-01	1.7109e-01	1.6885e+00
RPL39	5.7637e-01	3.8298e-01	1.3311e+00
RPL3L	4.9470e-16	3.4661e-03	-6.8650e-01
RPL4	9.9984e-01	1.6089e-04	1.2717e+00
RPL41	1.8377e-01	6.5775e-01	7.1898e-01
RPL5	9.9776e-01	2.2439e-03	1.9019e+00
RPL6	9.9326e-01	6.7358e-03	1.0321e+00
RPL7	9.9626e-01	3.7404e-03	1.1503e+00
RPL7A	9.9485e-01	5.1486e-03	9.0114e-01
RPL7L1	1.5563e-04	8.8347e-01	-3.9872e-01
RPL8	9.5531e-01	4.4590e-02	1.7478e+00
RPL9	9.6197e-01	3.7961e-02	1.5897e+00
RPLP0	7.6762e-01	2.3206e-01	1.6243e+00
RPLP1	3.7039e-01	5.8590e-01	1.0934e-01
RPLP2	6.6744e-01	3.1250e-01	-8.2896e-01
RPN1	2.3900e-01	7.6095e-01	7.3600e-01
RPN2	1.1487e-01	8.8512e-01	6.8317e-03
RPP14	2.2115e-01	6.5748e-01	2.8130e-01
RPP21	4.8992e-05	4.4159e-01	2.8723e-01
RPP25	2.0939e-01	6.5873e-01	7.2437e-01
RPP25L	6.7629e-01	3.0514e-01	7.9337e-01
RPP30	5.3582e-08	6.4788e-01	-7.5800e-01
RPP38	2.0088e-04	5.0216e-01	-2.1720e-01
RPP40	1.3062e-04	9.6256e-01	2.4045e-01
RPRD1A	2.2180e-01	7.7670e-01	1.9418e+00
RPRD1B	4.1768e-02	9.5711e-01	2.0969e+00
RPRD2	1.0000e+00	5.2558e-08	2.1188e+00
RPRM	1.4925e-01	6.4615e-01	5.6371e-01
RPRML	4.6377e-01	4.5275e-01	3.9801e-01
RPS10	9.7108e-01	2.8882e-02	1.2401e+00
RPS10-NUDT3	9.5186e-01	4.8131e-02	1.7535e+00
RPS11	9.4396e-01	5.5855e-02	1.6122e+00
RPS12	8.8531e-01	1.1356e-01	5.6956e-01
RPS13	8.7646e-01	1.2326e-01	1.7683e+00
RPS14	9.0388e-01	9.5396e-02	2.5151e+00
RPS15	8.3284e-01	1.6412e-01	1.7807e+00
RPS15A	8.0200e-01	1.9323e-01	2.2356e+00
RPS16	6.8713e-01	3.0908e-01	1.6221e+00
RPS17	3.2566e-01	4.9878e-01	NaN
RPS18	9.7590e-01	2.4076e-02	2.8242e+00
RPS19	9.2111e-01	7.8457e-02	1.4515e+00
RPS19BP1	2.6748e-05	3.3258e-01	4.0082e-01
RPS2	8.4690e-01	1.5260e-01	1.8548e+00
RPS20	2.0686e-02	9.1227e-01	1.0486e+00
RPS21	1.4060e-01	7.8658e-01	1.1597e+00
RPS23	8.5944e-01	1.3863e-01	2.3560e+00
RPS24	6.8141e-01	3.1458e-01	1.1557e+00
RPS25	8.6346e-01	1.3475e-01	1.8286e+00
RPS26	8.4833e-01	1.4932e-01	1.9320e+00
RPS27	7.5663e-01	2.3500e-01	9.2870e-01
RPS27A	9.1944e-01	8.0103e-02	8.6253e-01
RPS27L	1.0011e-01	7.8271e-01	7.9141e-01
RPS28	6.8259e-01	2.9985e-01	1.5135e+00
RPS29	2.9053e-01	6.3431e-01	1.0178e+00
RPS3	9.2000e-01	7.9904e-02	2.7801e+00
RPS3A	9.7002e-01	2.9941e-02	2.2263e+00
RPS4X	9.3222e-01	6.7486e-02	2.2887e+00
RPS4Y1	6.2651e-01	3.4544e-01	1.1196e+00
RPS4Y2	7.4913e-04	3.3149e-01	-1.0104e+00
RPS5	9.4764e-01	5.2203e-02	2.7926e+00
RPS6	9.7590e-01	2.4073e-02	1.3340e+00
RPS6KA1	1.9056e-03	9.9809e-01	2.9939e+00
RPS6KA2	9.4073e-03	9.9059e-01	2.5823e+00
RPS6KA3	9.9999e-01	5.0975e-06	4.5208e+00
RPS6KA4	9.9715e-01	2.8531e-03	3.6956e+00
RPS6KA5	9.9909e-01	9.1306e-04	2.1672e+00
RPS6KA6	9.8650e-01	1.3496e-02	1.8679e+00
RPS6KB1	9.7285e-01	2.7148e-02	3.9009e+00
RPS6KB2	5.9588e-21	4.3136e-04	-2.0498e-01
RPS6KC1	1.2570e-03	9.9874e-01	4.4810e-01
RPS6KL1	1.2741e-07	9.4807e-01	6.1032e-01
RPS7	9.5439e-01	4.5501e-02	1.6271e+00
RPS8	9.9003e-01	9.9661e-03	2.4175e+00
RPS9	8.7956e-01	1.1915e-01	2.7327e+00
RPSA	9.3037e-01	6.9566e-02	2.4182e+00
RPSAP58	3.4250e-03	6.3281e-01	-3.1255e-01
RPTN	2.5475e-05	7.7203e-01	-4.8135e-01
RPTOR	1.0000e+00	8.3089e-11	4.9391e+00
RPUSD1	1.6742e-10	1.7097e-02	-1.4875e+00
RPUSD2	8.8012e-07	7.6687e-01	7.3439e-02
RPUSD3	2.2032e-07	7.1220e-01	-5.0292e-01
RPUSD4	4.7321e-07	6.3758e-01	-4.0186e-01
RQCD1	9.8565e-01	1.4345e-02	3.2774e+00
RRAD	4.3879e-01	5.5513e-01	1.1113e+00
RRAGA	3.5570e-01	6.3298e-01	2.9852e+00
RRAGB	8.3630e-01	1.6358e-01	1.9423e+00
RRAGC	9.7538e-01	2.4618e-02	2.4643e+00
RRAGD	8.1991e-01	1.7993e-01	2.1976e+00
RRAS	4.6630e-03	8.8759e-01	6.7614e-01
RRAS2	9.7463e-01	2.5341e-02	1.7783e+00
RRBP1	2.2851e-11	9.9993e-01	4.9737e-02
RREB1	1.0000e+00	2.1900e-06	-4.2654e-01
RRH	2.0709e-09	1.3753e-01	-1.0253e-01
RRM1	1.0000e+00	2.8733e-07	3.9913e+00
RRM2	7.4515e-01	2.5483e-01	2.3381e+00
RRM2B	2.3570e-03	9.9451e-01	1.2056e+00
RRN3	1.6180e-05	9.9971e-01	-7.6965e-01
RRNAD1	1.4030e-11	1.8770e-01	3.8612e-01
RRP1	7.4869e-05	9.9623e-01	-3.2947e-01
RRP12	5.7892e-11	1.0000e+00	7.7223e-01
RRP15	2.9428e-04	8.1205e-01	-4.5285e-01
RRP1B	3.0653e-09	9.9581e-01	1.3868e+00
RRP36	7.9308e-14	9.6351e-03	-8.0148e-02
RRP7A	2.3832e-04	9.2852e-01	-3.5135e-01
RRP8	1.2303e-10	1.8229e-01	-1.1824e+00
RRP9	2.8533e-01	7.1466e-01	1.2395e+00
RRS1	1.7712e-01	8.1147e-01	1.9911e-01
RS1	9.5743e-01	4.2480e-02	9.6911e-01
RSAD1	2.1726e-06	9.0472e-01	-3.7198e-01
RSAD2	9.4432e-15	2.7562e-03	1.7423e-01
RSBN1	9.9107e-02	9.0089e-01	2.1109e+00
RSBN1L	7.9546e-01	2.0454e-01	9.1539e-01
RSC1A1	2.3498e-13	1.8212e-02	-2.4298e-01
RSF1	1.0000e+00	1.7162e-11	1.7661e+00
RSG1	8.8551e-06	3.3378e-01	6.1700e-01
RSL1D1	5.1679e-07	8.6438e-01	-1.6115e+00
RSL24D1	8.7838e-01	1.2135e-01	2.5578e-01
RSPH1	2.0540e-06	8.9846e-01	1.3798e-01
RSPH10B	5.2303e-06	9.6816e-01	3.7139e-01
RSPH10B2	2.0458e-02	9.7887e-01	1.5776e+00
RSPH3	9.8725e-08	9.2876e-01	6.7386e-02
RSPH4A	7.5712e-11	8.7452e-01	3.1926e-01
RSPH6A	2.3355e-10	8.7634e-01	-4.2903e-01
RSPH9	2.3881e-09	7.9720e-02	2.3710e-01
RSPO1	1.4418e-06	4.0567e-01	6.4658e-01
RSPO2	2.4608e-02	9.6332e-01	4.9576e-01
RSPO3	8.9252e-02	9.0910e-01	1.0187e+00
RSPO4	8.5962e-08	1.7011e-01	-4.6980e-01
RSPRY1	9.9981e-01	1.8528e-04	3.3610e+00
RSRC1	7.4539e-05	9.8218e-01	9.4613e-02
RSRC2	9.9905e-01	9.5142e-04	1.9912e+00
RSU1	8.9071e-04	9.4391e-01	4.5671e-01
RTBDN	3.0152e-10	4.6033e-02	-2.0423e-01
RTCA	3.0927e-09	5.1201e-01	3.0262e-01
RTCB	5.2059e-03	9.9459e-01	1.5695e+00
RTDR1	3.6018e-04	8.4497e-01	-3.0041e-01
RTEL1	8.8674e-10	1.0000e+00	-1.1507e+00
RTF1	1.0000e+00	4.2923e-06	4.5908e+00
RTFDC1	6.4279e-04	9.7982e-01	1.3151e+00
RTKN	2.6960e-06	9.9638e-01	1.0205e+00
RTKN2	5.4633e-15	3.2360e-01	-2.2712e-02
RTL1	5.6135e-03	9.9435e-01	2.6900e+00
RTN1	9.8593e-01	1.4070e-02	9.4952e-01
RTN2	4.1643e-01	5.8357e-01	7.0101e-01
RTN3	6.6163e-05	9.9975e-01	-2.3943e-01
RTN4	4.5318e-01	5.4682e-01	-1.1176e+00
RTN4IP1	3.1428e-06	9.3866e-01	7.2795e-01
RTN4R	9.5882e-01	4.1092e-02	1.1326e+00
RTN4RL1	9.6024e-01	3.9680e-02	1.4698e+00
RTN4RL2	8.7694e-01	1.2278e-01	2.4695e+00
RTP1	8.5587e-06	5.4099e-01	-4.5048e-01
RTP2	6.7109e-06	2.9082e-01	-9.6768e-01
RTP3	2.0085e-01	6.5900e-01	3.4306e-01
RTP4	5.9616e-01	3.6857e-01	2.9124e-01
RTTN	8.9747e-34	9.9988e-01	1.0709e-01
RUFY1	2.1203e-08	9.9974e-01	5.2527e-01
RUFY2	6.7843e-04	9.9932e-01	1.6752e+00
RUFY3	2.0593e-02	9.7941e-01	2.4837e+00
RUFY4	5.0653e-14	9.8150e-02	-6.5502e-02
RUNDC1	2.3691e-03	9.9452e-01	1.1287e+00
RUNDC3A	6.3623e-01	3.6372e-01	2.6915e+00
RUNDC3B	9.3163e-04	9.9858e-01	9.1468e-01
RUNX1	6.5377e-01	3.4619e-01	2.0001e+00
RUNX1T1	9.7768e-01	2.2316e-02	2.1674e+00
RUNX2	9.4884e-01	5.1160e-02	1.6033e+00
RUNX3	8.4295e-01	1.5694e-01	2.6942e+00
RUSC1	9.4130e-01	5.8697e-02	1.4463e+00
RUSC2	9.9949e-01	5.1011e-04	9.5056e-01
RUVBL1	9.9902e-01	9.8216e-04	3.3859e+00
RUVBL2	9.9992e-01	8.0020e-05	3.1128e+00
RWDD1	9.1032e-01	8.9558e-02	1.1510e+00
RWDD2A	3.7145e-07	2.0547e-01	1.0732e+00
RWDD2B	1.2057e-07	3.5972e-01	4.2872e-01
RWDD3	1.4761e-03	8.8548e-01	2.9855e-01
RWDD4	1.7447e-02	9.6280e-01	6.9289e-01
RXFP1	1.3875e-12	9.2483e-01	1.1215e+00
RXFP2	9.8971e-16	4.1388e-01	8.9449e-01
RXFP3	1.6003e-13	3.9342e-03	4.7294e-01
RXFP4	6.0080e-06	2.7494e-01	6.5571e-01
RXRA	9.9852e-01	1.4818e-03	2.9681e+00
RXRB	9.9719e-01	2.8111e-03	3.4196e+00
RXRG	4.2421e-01	5.7573e-01	1.5857e+00
RYBP	1.7721e-01	8.1139e-01	6.5596e-01
RYK	9.8922e-01	1.0778e-02	1.8088e+00
RYR1	1.5944e-29	1.0000e+00	1.9180e+00
RYR2	9.9999e-01	8.0464e-06	5.7809e+00
RYR3	7.0566e-01	2.9434e-01	1.8352e+00
S100A1	6.0044e-03	5.1284e-01	-1.5455e-01
S100A10	1.6843e-01	6.5426e-01	6.8298e-01
S100A11	8.4662e-03	5.8563e-01	3.0918e-01
S100A12	4.8234e-01	4.4288e-01	-5.8019e-01
S100A13	4.9652e-02	7.0325e-01	3.1548e-01
S100A14	1.8638e-03	5.0211e-01	-2.2286e-01
S100A16	1.0573e-03	3.9083e-01	-5.1201e-01
S100A2	5.8403e-05	1.5626e-01	3.8697e-02
S100A3	7.9273e-03	5.7158e-01	-7.2641e-02
S100A4	6.1838e-03	5.1899e-01	3.6487e-01
S100A5	5.5111e-05	1.5136e-01	-1.3227e-01
S100A6	1.7565e-01	6.5620e-01	2.4629e-01
S100A7	4.5274e-01	4.5826e-01	-4.8859e-01
S100A7A	2.5230e-03	3.4795e-01	-1.2732e+00
S100A7L2	1.8950e-01	6.5845e-01	-3.8862e-01
S100A8	1.3761e-01	6.3880e-01	4.0126e-02
S100A9	4.7770e-01	4.4541e-01	5.7464e-01
S100B	4.3870e-02	6.8210e-01	3.9964e-01
S100G	1.1469e-01	6.1769e-01	3.7847e-01
S100P	3.3257e-02	6.3029e-01	-3.7804e-01
S100PBP	9.4509e-01	5.4907e-02	7.6466e-02
S100Z	1.3210e-02	6.7925e-01	-1.4123e-01
S1PR1	7.3269e-01	2.6493e-01	2.6081e+00
S1PR2	1.8286e-02	9.0354e-01	1.5269e+00
S1PR3	4.6945e-02	8.6366e-01	8.5459e-01
S1PR4	2.3778e-03	7.8653e-01	7.8949e-02
S1PR5	1.5713e-01	7.8172e-01	1.4530e+00
SAA1	1.4930e-02	7.0380e-01	1.5512e-02
SAA2	2.7019e-06	9.7461e-02	-1.1555e-01
SAA4	1.2346e-02	6.6537e-01	-2.9513e-01
SAAL1	4.3242e-09	8.1222e-01	3.7258e-01
SAC3D1	5.7480e-04	4.8926e-01	5.9966e-01
SACM1L	6.9536e-01	3.0464e-01	1.9903e+00
SACS	1.0852e-23	1.0000e+00	9.3849e-01
SAE1	9.8760e-01	1.2403e-02	5.6278e-01
SAFB	1.0000e+00	1.9265e-06	2.1425e+00
SAFB2	9.9979e-01	2.1234e-04	4.8273e-01
SAG	1.4921e-16	6.3422e-03	6.8474e-01
SAGE1	8.5732e-18	8.4173e-03	-3.9048e-01
SALL1	9.9971e-01	2.9478e-04	7.2174e-01
SALL2	1.3767e-04	9.9831e-01	7.1470e-01
SALL3	4.0326e-01	5.9673e-01	3.1032e-01
SALL4	9.9997e-01	2.8471e-05	1.0750e+00
SAMD1	2.3605e-01	7.5756e-01	5.7463e-02
SAMD10	6.5861e-04	7.5505e-01	7.9003e-01
SAMD11	4.7681e-14	5.0208e-02	-3.4361e+00
SAMD12	1.1661e-03	8.5375e-01	-8.2614e-02
SAMD13	6.2299e-03	7.5608e-01	8.6106e-01
SAMD14	7.3677e-04	9.9588e-01	1.1299e+00
SAMD15	1.2383e-10	3.2575e-01	2.3325e-01
SAMD3	1.5324e-15	4.7411e-02	1.1268e-01
SAMD4A	9.9958e-01	4.2136e-04	1.8422e+00
SAMD4B	9.9996e-01	3.8165e-05	3.0439e+00
SAMD5	1.2095e-02	6.6111e-01	4.2294e-01
SAMD7	1.1415e-06	8.1427e-01	1.7951e-01
SAMD8	1.7634e-03	9.9349e-01	2.8863e+00
SAMD9	1.0521e-33	2.4250e-05	7.6877e-01
SAMD9L	5.5651e-15	9.9654e-01	1.6345e+00
SAMHD1	6.4524e-13	8.2775e-01	1.5474e+00
SAMM50	4.8795e-09	9.5286e-01	9.1508e-01
SAMSN1	5.0417e-11	2.0520e-01	3.0416e-01
SAP130	1.0000e+00	3.1855e-06	3.2452e+00
SAP18	8.2981e-02	8.7616e-01	7.6766e-01
SAP25	8.5030e-02	7.7181e-01	3.5952e-01
SAP30	3.0994e-01	6.7399e-01	8.8521e-01
SAP30BP	1.1365e-04	9.9001e-01	1.7462e+00
SAP30L	1.4279e-03	8.8135e-01	7.9699e-01
SAPCD1	1.8051e-07	1.3880e-01	2.8163e-01
SAPCD2	3.9417e-03	9.6227e-01	8.3495e-01
SAR1A	3.7178e-01	6.1820e-01	2.0927e+00
SAR1B	2.3150e-03	9.3079e-01	8.1398e-01
SARDH	5.2689e-16	9.1670e-01	6.7895e-01
SARM1	1.7007e-10	3.7956e-01	1.9032e+00
SARNP	9.9574e-01	4.2586e-03	1.1802e+00
SARS	9.9925e-01	7.4897e-04	2.6571e+00
SARS2	9.7700e-10	9.1339e-01	2.4911e-01
SART1	8.8163e-01	1.1837e-01	2.3016e+00
